operacao;unidade;grupo;porcentagem
TRATOR DE PNEU MEDIO H NORMAL;TRES MARIAS;SEM PRODUÇÃO PARA MOTORISTA;0%
TRATOR DE PNEU PESADO H NORMAL;TRES MARIAS;SEM PRODUÇÃO PARA MOTORISTA;0%
TRATOR PNEU PESADO;TRES MARIAS;SEM PRODUÇÃO PARA MOTORISTA;0%
APLIC. DE HERB. NA ENTRELINHA (BROTAÇÃO);TTG MG;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
APLICACAO HERBICIDA NA LINHA (BROTAÇÃO);TTG MG;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
APLICAÇÃO DE GESSO;TTG MG;SEM PRODUÇÃO PARA MOTORISTA;0%
APLICAÇÃO DE HERBICIDA NA ENTRELINHA;TTG MG;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
CAPINA QUIMICA EM AREA TOTAL;TTG MG;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
ELIMINACAO MATOCOMPETICAO -DESBROTADEIRA;TTG MG;SEM PRODUÇÃO PARA MOTORISTA;0%
PARADO A DISPOSICAO;TTG MG;SEM PRODUÇÃO PARA MOTORISTA;0%
PARADO MANUTENCAO;TTG MG;SEM PRODUÇÃO PARA MOTORISTA;0%
PRIMEIRA ADUBAÇÃO DA BROTAÇÃO;TTG MG;MOTORISTA ADUBAÇÃO MECANIZADA;100%
SEGUNDA ADUBAÇÃO DA BROTAÇÃO;TTG MG;MOTORISTA ADUBAÇÃO MECANIZADA;100%
SEGUNDA ADUBAÇÃO MANUT. (REF. 12 MESES);TTG MG;MOTORISTA ADUBAÇÃO MECANIZADA;100%
PRIMEIRA ADUBAÇÃO MANUT. (REF. 6 MESES);TTG MG;MOTORISTA ADUBAÇÃO MECANIZADA;100%
PRIMEIRA CAPINA QUÍMICA NA ENTRELINHA;TTG MG;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
ACEIRO QUIMICO;ESTREITO;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
ADUB SOLIDA DE COBERTURA MECANICA I;ESTREITO;MOTORISTA ADUBAÇÃO MECANIZADA;100%
ADUB SOLIDA DE COBERTURA MECANICA II;ESTREITO;MOTORISTA ADUBAÇÃO MECANIZADA;100%
ADUB SOLIDA DE COBERTURA MECANICA III;ESTREITO;MOTORISTA ADUBAÇÃO MECANIZADA;100%
ADUBACAO COM MARCACAO DE COVA;ESTREITO;MOTORISTA ADUBAÇÃO MECANIZADA;100%
ADUBACAO DE PLANTIO MECANIZADA;ESTREITO;MOTORISTA ADUBAÇÃO MECANIZADA;100%
APL HERBICIDA PRE EMERG MECAN AREA TOTAL;ESTREITO;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
APL HERBICIDA PRE EMERG MECAN NA LINHA;ESTREITO;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
APL HERBICIDA PRE EMERG MECAN REMONT;ESTREITO;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
APLI . HERB. MEC. NA ENTRELINHA CONJ;ESTREITO;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
APLIC HERB MECAN POS EMERG AREA TOTAL;ESTREITO;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
APLIC HERB. MECAN NA ENTRELINHA I ABERTA;ESTREITO;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
APLICACAO HERBICIDA MEC  ENTRELINHA III;ESTREITO;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
APLICACAO HERBICIDA MEC NA ENTRELINHA I;ESTREITO;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
APLICACAO HERBICIDA MEC NA ENTRELINHA II;ESTREITO;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
APLICACAO MEC DE DEFEN QUIMICOS AGROFOG;ESTREITO;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
APOIO A ADUBACAO COMPLEMENTAR;ESTREITO;MOTORISTA ADUBAÇÃO MECANIZADA;100%
APOIO A ADUBAÇÃO DE PLANTIO MANUAL;ESTREITO;MOTORISTA ADUBAÇÃO MECANIZADA;100%
APOIO ADUBACAO MECANIZADA;ESTREITO;MOTORISTA ADUBAÇÃO MECANIZADA;100%
APOIO AO REPLANTIO;ESTREITO;MOTORISTA DO PLANTIO;100%
APOIO APLI. DE HERB. MANUAL NA LINHA;ESTREITO;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
APOIO APLIC. DE HERBICIDA MANUAL TOTAL;ESTREITO;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
APOIO APLIC.HERB. MANUAL NA ENTRELINHA;ESTREITO;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
APOIO IRRIGACAO COM LODO PRIMARIO I;ESTREITO;MOTORISTA IRRIGAÇÃO;100%
APOIO IRRIGACAO DE PLANTIO I;ESTREITO;MOTORISTA IRRIGAÇÃO;100%
APOIO IRRIGACAO DE PLANTIO II;ESTREITO;MOTORISTA IRRIGAÇÃO;100%
APOIO IRRIGACAO DE PLANTIO III;ESTREITO;MOTORISTA IRRIGAÇÃO;100%
APOIO IRRIGACAO DE PLANTIO IV;ESTREITO;MOTORISTA IRRIGAÇÃO;100%
APOIO IRRIGACAO DE PLANTIO V;ESTREITO;MOTORISTA IRRIGAÇÃO;100%
APOIO IRRIGACAO REPLANTIO I;ESTREITO;MOTORISTA IRRIGAÇÃO;100%
APOIO IRRIGACAO REPLANTIO II;ESTREITO;MOTORISTA IRRIGAÇÃO;100%
APOIO IRRIGACAO REPLANTIO III;ESTREITO;MOTORISTA IRRIGAÇÃO;100%
APOIO IRRIGACAO REPLANTIO IV;ESTREITO;MOTORISTA IRRIGAÇÃO;100%
APOIO IRRIGACAO REPLANTIO V;ESTREITO;MOTORISTA IRRIGAÇÃO;100%
APOIO PLANTIO;ESTREITO;MOTORISTA DO PLANTIO;100%
GRADAGEM BEDDING;ESTREITO;SEM PRODUÇÃO PARA MOTORISTA;0%
GRADAGEM ENTRELINHA;ESTREITO;SEM PRODUÇÃO PARA MOTORISTA;0%
GRADAGEM NA LINHA;ESTREITO;SEM PRODUÇÃO PARA MOTORISTA;0%
IMP-CAPINA QUIMICA LAMINA PRE EMERGENTE;ESTREITO;MOTORISTA APLICAÇÃO DE HERB. MECANIZADA;100%
LIMPEZA DA LINHA DE PLANTIO AIVECAO I;ESTREITO;SEM PRODUÇÃO PARA MOTORISTA;0%
MARCACAO DE COVA MECANIZADA;ESTREITO;SEM PRODUÇÃO PARA MOTORISTA;0%
PARADO A DISPOSICAO;ESTREITO;SEM PRODUÇÃO PARA MOTORISTA;0%
PARADO MANUTENCAO;ESTREITO;SEM PRODUÇÃO PARA MOTORISTA;0%
ROCADA MECANIZADA NA ENTRELINHA;ESTREITO;MOTORISTA ROÇADA MECANIZADA;100%
ROCADA MECANIZADA TOTAL;ESTREITO;MOTORISTA ROÇADA MECANIZADA;100%
ROLO FACA;ESTREITO;SEM PRODUÇÃO PARA MOTORISTA;0%
ROLO FACA PESADO;ESTREITO;SEM PRODUÇÃO PARA MOTORISTA;0%
SUBSOLAGEM C/ADUB E MARC. DE COVA 40CM;ESTREITO;MOTORISTA PREPARO DE SOLO;50%
SUBSOLAGEM SEM ADU.TRATOR PESADO-40CM;ESTREITO;MOTORISTA PREPARO DE SOLO;50%
SUBSOLAGEM SEM ADUBACAO MECANIZADA 60CM;ESTREITO;MOTORISTA PREPARO DE SOLO;50%
TRANSP. FUNC.;ESTREITO;SEM PRODUÇÃO PARA MOTORISTA;0%
TRANSPORTES DIVERSOS;ESTREITO;SEM PRODUÇÃO PARA MOTORISTA;0%
TRATOR DE PNEU LEVE H NORMAL;ESTREITO;SEM PRODUÇÃO PARA MOTORISTA;0%
TRATOR DE PNEU MEDIO H NORMAL;ESTREITO;SEM PRODUÇÃO PARA MOTORISTA;0%
TRATOR DE PNEU PESADO H NORMAL;ESTREITO;SEM PRODUÇÃO PARA MOTORISTA;0%
SUBSOLAGEM 60 CM + ADUBAÇÃO + MARC. COVA;REGREEN;MOTORISTA ADUBAÇÃO MECANIZADA;50%



